cds_content_id,brands,title,text,authors,url,main_section,sub_section,num_words,num_sentences,num_chars,first_publication_timestamp,categories_generated,keywords_curated,brand_safety_is_brandsafe,brand_safety_confidence,file_name
article-mm-6229c19da07c8a000163379b,nu.nl,Peugeot 307 in alle opzichten verbeterd,"Het nieuwe gezicht komt op alle carrosserievarianten van de 307. Het model, dat meeloopt sinds 2001, zal voor het einde van het jaar als gefacelifte versie in de showrooms verschijnen. Wie per se de oude versie wil rijden, zal zich dus tot de [Peugeot 307 occasions](https://www.gaspedaal.nl/peugeot/307) moeten wenden. Peugeot noemt het nieuwe gezicht van de middenklasser 'soft nose' en spreekt van een echte 'leeuwenbek'. Het toont duidelijke gelijkenissen met de neuzen van de 407 en de nieuwe 107. De mistlichten en de richtingaanwijzers hebben in het nieuwe front een andere plek gekregen. **Opvallende koplampen** Aan de voorkant springt vooral de opvallende nieuwe grille mijn zijn oplopende koplampen in het oog. Aan de achterzijde zijn het voornamelijk de achterlichten met geheel rood glas die opvallen. Die zijn geheel conform de laatste mode voorzien van LED-verlichting; Peugeot heeft zich voor de nieuwe achterverlichting laten inspireren door de 307CC concept die op de Autosalon van Parijs te zien was. **Nieuw interieur** Het interieur is opgewaardeerd met nieuwe materialen en stoffen. De instrumenten zijn voortaan voorzien van een verchroomde rand. Voor het dashboard, de bekleding op de portieren en de zetels zijn nieuwe bekledingsstoffen beschikbaar. Voorts kan er aan de binnenkant in sommige uitvoeringen worden gekozen voor metalen of houten accenten. Voor de facelift zijn talrijke kleinere wijzigingen doorgevoerd. Zo hebben alle 307´s voortaan de ruitenwissers die eerst alleen aan de CC waren voorbehouden. Deze zijn platter, lichter, sneller en hebben een groter wisbereik. **Motoraanbod** Het motorenaanbod van de [Peugeot 307](https://www.autotrack.nl/occasions/peugeot/307) is kortgeleden nog herzien. Het programma is aangevuld met een iets sterkere 2,0-liter benzinemotor en een 1,6-liter motor die voldoet aan de nieuwe emissie-eisen. De 2,0-liter HDI-diesel met 90 pk werd vervangen door een 1,6-liter met hetzelfde vermogen. Voor het gefacelifte model wordt de 177 pk sterke 2,0-liter motor ook beschikbaar voor de 3-en 5-deurs 307; die was altijd voorbehouden aan de CC. De hatchbacks gaan er in 8,8 seconden mee van 0 naar 100 en de topsnelheid bedraagt 220 km/u. De 307 CC is voortaan ook leverbaar met de 136 pk sterke 2,0-liter HDI; voorheen was de CC niet met een diesel leverbaar.",ANP,https://nu.nl/auto/537071/peugeot-307-in-alle-opzichten-verbeterd.html,Economie,Onderweg,351,27,2327,,Onderweg,,True,0.1,3
article-mm-621539e134c4a7000191db08,nu.nl,Hier is hij dan: de nieuwe Volvo V70!,"De voorzijde van de Volvo V70 krijgt trekken van de grote sedan-broer, de S80. De 'zachtere' neus krijgt een nieuwe zwarte grille met verchroomde verticale spijlen. Achter valt de naar voren buigende kofferklep op. Opvallend is dat het bovenste gedeelte van de achterlichten mee naar boven scharniert. Elektrische kofferklepbediening is een optie. Hierdoor is de laadruimte, die 540 liter groot is (55 liter meer dan het vorige model), makkelijker toegankelijk. De laadruimte is luxe afgewerkt en eronder zit een opbergvak dat automatisch sluit als de bestuurder de auto op slot zet. Op de bagageklep is de naam 'Volvo' met grote ruimte tussen de letters te vinden, iets wat we ook al op Volvo's SUV-concept XC60 zagen. Volvo heeft ook weer aandacht aan de veiligheid besteed. Het bekende Side Impact Protection System (SIPS) is nog eens onder de loep genomen en ook is er een primeur: de kussenverhoger voor de achterpassagiers, die ervoor zorgt dat kinderen op een goede manier de gordel om kunnen doen. Ook is er standaard het Whiplash Protection System (WHIPS). Andere veiligheidsvoorzieningen zijn remassistent, adaptieve cruise control en de Personal Car Communicator met hartslagsensor. Ook op motorisch gebied is er het nodige veranderd. Nieuw is de 3,0-liter turbomotor met 285 pk en een koppel van 400 Nm. Ook is er de al bekende, turboloze 3,2-liter zescilinder met 238 pk en 320 pk. De basismotorisering is de 2,5-liter vijfcilinder turbomotor, die 200 pk en 300 Nm levert. Volvo bedient ook de dieselliefhebbers, en wel met twee diesels, de 2.4 D vijfcilinder met 163 pk en de D5 met 185 pk. De vijf- en zescilindermodellen kunnen ook worden gekoppeld aan een Geartronic-zestrapsautomaat. Ook op de nieuwe V70 kan het Four C-onderstel besteld worden, een onderstel dat zich aanpast aan de rijsnelheid. Dynamic Stability en Traction Control (DSTC) is standaard op alle modellen. Het topmodel, de T6 met de 3,0-liter turbomotor, krijgt standaard All Wheel Drive (AWD) mee. Volvo hoopt jaarlijks wereldwijd 75.000 V70's te verkopen. De Nederlandse prijs van de [Volvo V70](https://www.gaspedaal.nl/volvo/v70) worden in een later stadium bekendgemaakt.",autoweek.nl,https://nu.nl/auto/962788/hier-is-hij-dan-de-nieuwe-volvo-v70.html,Onderweg,,0,0,0,,Onderweg,,True,0.1,1
article-mm-6239e222e28ee500012c67ff,nu.nl,De Peugeot 207 SW!,In de Peugeot-vestiging in Poissy is de voorserie gestart van de [Peugeot 207](https://www.google.com/url?q=https://www.gaspedaal.nl/peugeot/207&sa=D&source=docs&ust=1648121089147310&usg=AOvVaw3PBTsxOwbHqM7EActJ5tuo) SW. Her en der op internet zijn al foto's te zien van het fabrieksterrein waar de kleine stationwagens af en aan rijden. In juli staan de eerste exemplaren van de 207 SW bij de dealers. Op de autobeurs in Genève toonde Peugeot al de 207 Outdoor. Dat is een tot avonturen-auto omgebouwde versie van de 207 SW. Het ligt niet in de lijn der verwachting dat Peugeot werkelijk komt met zo'n variant van de stationwagen. Hij zou vallen in de klasse waarin Volkswagen onder meer de CrossPolo en de CrossGolf en Citroën de C3 X-TR aanbiedt. De 207 SW is de opvolger van de 206 SW. Die had samen met de Fabia Combi in de klasse van de kleine stationwagens lange tijd het rijk alleen. Nu heeft ook Renault aangekondigd met een break-versie te komen van de Clio. Daarvan was ook een voorproefje te zien op de Zwitserse beurs. Volgend jaar zal het productiemodel te zien zijn.,autoweek.nl,https://nu.nl/auto/1013291/de-peugeot-207-sw.html,Onderweg,,170,17,1081,,Onderweg,,True,0.1,2
article-mm-6229c559c1fdac00016a6b3e,nu.nl,Meer details nieuwe Opel Agila,"De beelden die we eerder al liet zien toonden al aan dat de nieuwe Agila er een stuk frisser uitziet dan zijn voorganger (te vinden tussen de [Opel Agila occasions](https://www.autotrack.nl/occasions/opel/agila)), die lijkt op een rijdend bushokje. Met een lengte van 3,47 meter is hij bovendien 20 centimeter langer. Ook in de breedte groeide de Agila, maar het nieuwe model is wel 7 centimeter lager dan het huidige model die de techniek en het uiterlijk deelt met de Suzuki Wagon R+. Pas in het voorjaar van de 2008 worden de nieuwe Agila en Splash leverbaar. ## **Standaard compleet** Opel belooft een draaicirkel van 9,6 meter en de luchtweerstandscoëfficient bedraagt 0,35. Onder de hoedenplank biedt de bagageruimte plek aan 225 liter, klap je de achterbankleuningen neer dan ontstaat maximaal 1.050 liter. ABS, airbags en zij-airbags, een uitschakelbare luchtzak voor de voorpassagier, in hoogte verstelbare voorstoelen en een achterklep die elektrisch opent, maken de Agila lekker compleet. De Enjoy heeft een nog riantere uitrusting. ## **2 benzine, 1 diesel** Suzuki neemt de benzinemotoren van het nieuwe duo in het A-segment voor z'n rekening De basismotor is een 1.0 driecilinder met 65 pk die de Agila naar een top van 160 km/h stuwt en de auto in 14,8 seconden van 0 naar 100 laat sprinten. Prima waarden voor een basisversie in deze klasse. Het gemiddeld verbruik bedraagt 5,3 liter per 100 km/h, goed voor 126 gram CO2 per kilometer. De viercilinder 1.2 met 16 kleppen levert 86 pk en 114 Nm en daarmee sprint de Agila in 12,0 seconden van 0 naar 100 km/h, en de topsnelheid ligt op 174. Volgens Opel verbruikt de Agila 1.2 5,7 liter per 100 kilometer, goed voor 135 gram CO2 per kilometer. Voor de viercilinder is ook een viertraps automaat leverbaar. De 1.3 CDTI heeft de bekende 1.3 commonrail diesel met 75 pk en 190 Nm bij 2000 toeren. Voor de diesel belooft Opel een verbruik van minder dan 5 liter per 100 kilometer, ruim 1 op 20 dus. Zo snel mogelijk vanuit stilstand naar 100 km/h sprinten duurt in de CDTI 13,5 seconden en hij loopt maximaal 162. De CO2 uitstoot bedraagt minder dan 130 gram per kilometer.",autoweek.nl,https://nu.nl/auto/1149251/meer-details-nieuwe-opel-agila.html,Onderweg,,361,27,2134,,Onderweg,,True,0.1,3
article-mm-626a799867ff2a00019c059e,nu.nl,Oranje meest populair voor Dodge Charger,"Dodge heeft onlangs de Charger nieuw leven ingeblazen. Die auto werd in de jaren '80 beroemd door zijn rol in de televisieserie Dukes of Hazzard. Vandaag de dag is oranje de populairste kleur voor die auto. Da's natuurlijk geen toeval want de auto van Bo en Luke had ook al die kleur. Meer dan vijftig procent van de bestelde Challengers wordt geleverd in dit Hemi Orange. De andere twee kleuren waarin de nieuwe Muscle Car leverbaar is, zijn zilvergrijs en zwart. Aanvankelijk wilde Dodge dit jaar vijfduizend Charger produceren. Door de grote vraag worden dat er 6.400 stuks. Als het Challenger-programma compleet is, moet de jaarproductie op 30.000 stuks liggen. Vanaf 3 december worden orders geschreven voor de nieuwe Dodge. Alleen al op die dag kwamen 4.300 bestellingen binnen. De Dodge Charger komt niet naar Nederland. Niet in de laatste plaats door de invoering van de slurptax, want dat dit stukje Amerikaans erfgoed een flinke slok lust, moge duidelijk zijn. Liefhebbers zullen het dus moeten doen met de [Dodge Charger occasions](https://www.autotrack.nl/occasions/dodge/charger) die via grijze import ons land bereiken.",autoweek.nl,https://nu.nl/auto/1401797/oranje-meest-populair-voor-dodge-charger.html,Economie,Onderweg,178,20,1133,,Onderweg,,True,0.1,3
article-mm-625813d6bd1e1f0001e11f21,nu.nl,Nieuwe Celica in samenwerking met Subaru,"In Japan wordt gepraat over een opvolger van de [Toyota Celica](https://www.gaspedaal.nl/toyota/celica). Die beroemde coupé verdween in 2005 met stille trom van de markt. De nieuwe Celica komt voort uit een samenwerking tussen Toyota en Subaru en komt al volgend jaar op de markt. Voordat er hooggespannen verwachting worden gewekt: of en wanneer die auto dan naar Europa komt, is nog niet duidelijk. De nieuwe Celica komt er als GT en als GT-Four met vierwielaandrijving. Die eerste leent de 2,0-liter boxermotor van Subaru en heeft achterwielaandrijving. De tweede staat wat hoger op de ladder. Hij leent de 300 pk sterke 2,0-liter 300 pk sterke boxer die de WRX STI in Japan heeft. Bovendien heeft hij ook vierwielaandrijving; eveneens techniek van Subaru. In de wielen worden elektromotoren verwerkt om extra aandrijfkracht op de wielen te krijgen. Het nieuwe model komt er als volwaardige coupé en als driedeurs hatchback. Een vijfdeurs versie durft Toyota niet aan omdat die te veel in het vaarwater van de Impreza zit. Historisch gezien is dit ook geen vreemde keuze. Zoals te zien is aan [Toyota Celica occasions](https://www.autotrack.nl/occasions/toyota/celica) van weleer, is een dergelijke variant er namelijk nooit geweest. De samenwerking is intens want de nieuwe Toyota wordt zelfs gemaakt in de Gunma-fabriek in Japan.",autoweek.nl,https://nu.nl/auto/1420717/nieuwe-celica-in-samenwerking-met-subaru.html,Onderweg,,206,20,1334,,Onderweg,,True,0.1,3
article-mm-626a5ea882b43e0001ba6fb0,nu.nl,Waar komt de Volkswagen Up vandaan?,"Het Tsjechische Vrchlabi en het Spaanse Pamplona strijden om de gunst van Volkswagen om de Up te mogen gaan bouwen. Skoda wil de auto graag in de Tsjechische fabriek gaan bouwen voor moederbedrijf Volkswagen. Daar kunnen jaarlijks 200.000 tot 250.000 auto's worden gebouwd. Maar ook in de Volkswagen-fabriek in Pamplona is plek over. De beslissing over de productieplaats wordt over vier maanden genomen. Daarnaast zullen de Ups voor de groeimarkten ook in Rusland en India worden geproduceerd. De Up wordt verkocht als Volkswagen, Skoda en Seat. In West-Europa wordt hij als trendy stadsautootje op de markt gezet. In de nieuwe markten wordt hij al compacte prijsbreker aan de man gebracht. In 2009 start de productie van de [Volkswagen Up](https://www.gaspedaal.nl/volkswagen/up). Inmiddels gaan er stemmen op dat die auto opnieuw Lupo gaat heten; omdat in die typenaam 'Up' verstopt zit. Een dergelijk letterspel speelde VW eerder met de Iroc concept car en de Scirocco.",autoweek.nl,https://nu.nl/auto/1505884/waar-komt-de-volkswagen-up-vandaan.html,Onderweg,,152,17,973,,Onderweg,,True,0.1,3
article-mm-6239e47e9bce9f00018e848f,nu.nl,Dodge Ram gaat groen,"Volgens het Amerikaanse Car&Driver komt er in 2010 een dieselmotor voor de Ram beschikbaar. Iets later volgt ook een hybride versie van de pick-up. De Dodge Ram gaat z'n two-mode hybrid technologie delen met de Chrysler Aspen en de Dodge Durango. Aan de andere kant van het gamma is het juist zeer de vraag of de 8,4 V10 uit de huidige Viper nog wel de motorruimte van Ram bereikt in een eventuele SRT10-versie zoals we die nu kennen. Dodge wil in principe wel, maar vraagt zich af of we ons nog wel in de juiste tijden bevinden voor zo'n auto. Het is dus goed mogelijk dat het gamma in de toekomst eindigt bij een model met 'slechts' een 6,1-liter V8 aan boord en je voor die V10 tussen de [Dodge Ram occasions](https://www.autotrack.nl/occasions/dodge/ram) moet zoeken.",autoweek.nl,https://nu.nl/auto/1591215/dodge-ram-gaat-groen.html,Onderweg,,134,9,771,,Onderweg,,True,0.1,2
article-mm-6229c406655adf0001cf4de5,nu.nl,Eindelijk: de nieuwe Suzuki Alto,"De nieuwe Alto lijkt enigszins op de [A-star concept ](http://www.autoweek.nl/nieuws.php?id=8458)die in maart 2008 werd getoond. Bij de onthulling van dat model in Genève spraken we de importeur en die verwachtte de Alto, die uit de studie voortkwam, in maart of april in Nederland. Suzuki geeft zelf nog geen technische details vrij, maar ons is al wel verteld dat de CO2-uitstoot onder de 110 gram per kilometer zal liggen. En daarmee komt hij net als de Toyota Aygo en zijn broertjes en de Daihatsu Cuore in aanmerking voor 50 procent korting op de wegenbelasting. De nieuwe Alto krijgt een doorontwikkelde versie van de 1.0 driecilinder. Begin oktober krijgen we meer informatie over de nieuwe Alto, die dan ongetwijfeld met veel bombarie gepresenteerd wordt. In 2006 stopte de levering van de laatste Alto in Nederland, dus een feestje is wel op zijn plaats. Je vindt deze oude versie tussen de [Suzuki Alto occasions](https://www.gaspedaal.nl/suzuki/alto) op Gaspedaal.nl.",autoweek.nl,https://nu.nl/auto/1690705/eindelijk-de-nieuwe-suzuki-alto.html,Onderweg,,0,0,0,,Onderweg,,True,0.1,2
article-mm-625813d6bd1e1f0001e11f23,nu.nl,Peugeot 107 volgt zijn broertje,"De Peugeot 107 heeft een wat typischer Peugeot-gezicht gekregen, waardoor hij zich duidelijk onderscheidt van oudere [Peugeot 107 occasions](https://www.gaspedaal.nl/peugeot/107). En of we daar blij mee moeten zijn, mag u zelf bepalen. In elk geval spreken de makers van de auto over een scherpere en meer uitgesproken uitstraling. De nummerplaat is voortaan onderaan de bumper gemonteerd en de grille heeft een honingraatstructuur en er is een brede verchroomde strip. Aan de uithoeken van de bumpers zitten nieuwe ventilatieopeningen. Bij de duurdere modellen zitten daar mistlichten. Verder zijn er nieuwe wieldoppen en vervangen de kleuren 'Orange Mandaline' en 'Bleu Electra' de tinten Bleu Damas en Bleu Linarite. Ook de interieurbekleding is aangepast. Het gemiddelde brandstofverbruik is gedaald met eentiende liter per 100 kilometer. Daarmee daalt – net als bij de C1 de CO2-uitstoot van 109 naar 106 gram per kilometer. Daarnaast zijn er nog slimme detailverbeteringen: door wat meer isolatiemateriaal te gebruiken is de nieuwe 107 stiller en het gebruik van een andere hoedenplank is er wat meer bagageruimte. De nieuwe 107 heeft een prijslijst die begint bij 8.940 euro. Voorheen was dat 8.790 euro.",autoweek.nl,https://nu.nl/auto/1820775/peugeot-107-volgt-zijn-broertje.html,Onderweg,,183,18,1211,,Onderweg|Overig,,True,0.1,3
